unit_id,asof,shape,cells,arm,score,raw_score,marginal_ratio,joint_ratio,tail_ratio
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,ours,0.8683299591275603,0.8683299591275603,0.9197362313841,0.0,0.7398142784862106
pu-factors_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,reference_cli,1.0160887755864132,1.0160887755864132,1.052772691196981,0.0,0.9243789865599938
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,ours,0.7227952092487998,0.7227952092487998,0.7964369305233511,0.5906513428295089,0.7369067056913581
pu-factors_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,reference_cli,1.1088163748529647,1.1088163748529647,0.9601700990692209,1.4581956262849693,0.9563631871643171
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,ours,0.6866826587305043,0.6866826587305043,0.6621009779852934,0.0,0.7481368605935313
pu-factors_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,reference_cli,0.9486123876627482,0.9486123876627482,0.95120431619816,0.0,0.9421325663242186
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,ours,0.7158583048442305,0.7158583048442305,0.7966255028484882,0.5895298966770215,0.7034329220843999
pu-factors_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,reference_cli,0.9766769594526213,0.9766769594526213,0.9970254885850611,0.9531367019895322,0.9611160228161558
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,ours,0.6214132567084772,0.6214132567084772,0.6367505972698915,0.5371477177531906,0.7094682137378716
pu-factors_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,reference_cli,0.9600060407810806,0.9600060407810806,0.9462192326081327,0.9800004385426896,0.9644814645710378
pu-g10_fx_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,ours,0.7945632337831077,0.7945632337831077,0.8683777098631904,0.0,0.6100270435829007
pu-g10_fx_daily-2001-04-10-a1h21,2001-04-10,a1h21,1,reference_cli,0.563041386992913,0.563041386992913,0.6616984372837935,0.0,0.3163987612657115
pu-g10_fx_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,ours,0.9660229698536101,0.9660229698536101,0.9182369141951253,0.9576824997279492,1.097998814188314
pu-g10_fx_daily-2001-04-10-a1h21_63,2001-04-10,a1h21_63,2,reference_cli,0.8769761641532269,0.8769761641532269,0.5485679951833744,1.5293529915421231,0.7194313454945138
pu-g10_fx_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,ours,0.8137129183092521,0.8137129183092521,0.668730368800301,0.0,1.1761692920816296
pu-g10_fx_daily-2001-04-10-a1h63,2001-04-10,a1h63,1,reference_cli,0.5794020813685672,0.5794020813685672,0.3656905717249826,0.0,1.1136808554775288
pu-g10_fx_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,ours,0.8724246783875612,0.8724246783875612,0.9177535739562807,0.784100161673789,0.8915892145364205
pu-g10_fx_daily-2001-04-10-a4h21,2001-04-10,a4h21,4,reference_cli,0.8709489023493844,0.8709489023493844,0.9010717563115956,0.833258592555771,0.8521772321342765
pu-g10_fx_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,ours,1.0266279609015623,1.0266279609015623,1.0289085768458133,1.0657366519034943,0.9622633845380363
pu-g10_fx_daily-2001-04-10-a4h63_126,2001-04-10,a4h63_126,8,reference_cli,0.8057973561846903,0.8057973561846903,0.8320706712037115,0.6495258511902066,0.9745213261288629
pu-factors_daily-2001-05-10-a1h21,2001-05-10,a1h21,1,ours,0.6257477019307324,0.6257477019307324,0.5701418056679689,0.0,0.7647624425876408
pu-factors_daily-2001-05-10-a1h21,2001-05-10,a1h21,1,reference_cli,0.9139517354093385,0.9139517354093385,0.9032957610182647,0.0,0.940591671387023
pu-factors_daily-2001-05-10-a1h21_63,2001-05-10,a1h21_63,2,ours,0.5925676271746125,0.5925676271746125,0.631449075286694,0.44085144592522724,0.7229382787684869
pu-factors_daily-2001-05-10-a1h21_63,2001-05-10,a1h21_63,2,reference_cli,1.197549392551454,1.197549392551454,0.9732470277986919,1.7190245397948016,0.9760925835683377
pu-factors_daily-2001-05-10-a1h63,2001-05-10,a1h63,1,ours,0.6717236133945508,0.6717236133945508,0.6362322816223978,0.0,0.7604519428249332
pu-factors_daily-2001-05-10-a1h63,2001-05-10,a1h63,1,reference_cli,0.9621172579510882,0.9621172579510882,0.9476692987466898,0.0,0.9982371559620837
pu-factors_daily-2001-05-10-a4h21,2001-05-10,a4h21,4,ours,0.644356307464659,0.644356307464659,0.6502429591990806,0.552406794720755,0.7675639472444608
pu-factors_daily-2001-05-10-a4h21,2001-05-10,a4h21,4,reference_cli,1.0138095406589889,1.0138095406589889,1.0090779544400614,1.0339835666480781,0.9953774672226734
pu-factors_daily-2001-05-10-a4h63_126,2001-05-10,a4h63_126,8,ours,0.6397098413453122,0.6397098413453122,0.64201265602096,0.5685754783158172,0.7406543492004347
pu-factors_daily-2001-05-10-a4h63_126,2001-05-10,a4h63_126,8,reference_cli,1.0304279160455776,1.0304279160455776,1.0133827735877954,1.0795082431329073,0.9994202815590384
pu-factors_daily-2001-06-11-a1h21,2001-06-11,a1h21,1,ours,0.5860917256739233,0.5860917256739233,0.555131702078075,0.0,0.6634917846635439
pu-factors_daily-2001-06-11-a1h21,2001-06-11,a1h21,1,reference_cli,0.9545219134714369,0.9545219134714369,0.9497846597649716,0.0,0.9663650477376
pu-factors_daily-2001-06-11-a1h21_63,2001-06-11,a1h21_63,2,ours,0.5942127282376143,0.5942127282376143,0.6106099398112758,0.5007876296197604,0.6933573472302412
pu-factors_daily-2001-06-11-a1h21_63,2001-06-11,a1h21_63,2,reference_cli,1.1696870960392638,1.1696870960392638,1.0544968253639126,1.4733761280287623,1.0021292247433944
pu-factors_daily-2001-06-11-a1h63,2001-06-11,a1h63,1,ours,0.6751267526207685,0.6751267526207685,0.6392477671041622,0.0,0.7648242164122842
pu-factors_daily-2001-06-11-a1h63,2001-06-11,a1h63,1,reference_cli,1.040739423626071,1.040739423626071,1.0679786772772326,0.0,0.9726412894981664
pu-factors_daily-2001-06-11-a4h21,2001-06-11,a4h21,4,ours,0.6370198178713078,0.6370198178713078,0.6387959062597893,0.5665881649844765,0.7382270762303513
pu-factors_daily-2001-06-11-a4h21,2001-06-11,a4h21,4,reference_cli,1.0197744611210382,1.0197744611210382,1.0048207023119822,1.0541218329271396,1.0056378004345257
pu-factors_daily-2001-06-11-a4h63_126,2001-06-11,a4h63_126,8,ours,0.6226030597229495,0.6226030597229495,0.6261916261520949,0.5524603123687748,0.7188457646813475
pu-factors_daily-2001-06-11-a4h63_126,2001-06-11,a4h63_126,8,reference_cli,0.991446062964088,0.991446062964088,0.9656443298516427,1.036396224854555,0.9885251529095005
pu-factors_daily-2001-07-11-a1h21,2001-07-11,a1h21,1,ours,0.6972602081812138,0.6972602081812138,0.6621104281887417,0.0,0.7851346581623941
pu-factors_daily-2001-07-11-a1h21,2001-07-11,a1h21,1,reference_cli,1.0026328945201182,1.0026328945201182,1.0072821710782676,0.0,0.9910097031247447
pu-factors_daily-2001-07-11-a1h21_63,2001-07-11,a1h21_63,2,ours,0.7124373512348374,0.7124373512348374,0.7017893514715523,0.6737374433792742,0.7971072124263953
pu-factors_daily-2001-07-11-a1h21_63,2001-07-11,a1h21_63,2,reference_cli,1.2171244430420833,1.2171244430420833,1.0737358546367626,1.54844435621799,1.0786160442915262
pu-factors_daily-2001-07-11-a1h63,2001-07-11,a1h63,1,ours,0.6947524442440856,0.6947524442440856,0.678175604434432,0.0,0.7361945437682189
pu-factors_daily-2001-07-11-a1h63,2001-07-11,a1h63,1,reference_cli,0.9885709662589182,0.9885709662589182,0.9950302824370227,0.0,0.9724226758136564
pu-factors_daily-2001-07-11-a4h21,2001-07-11,a4h21,4,ours,0.6626653475071055,0.6626653475071055,0.6677777343080794,0.5930421047361294,0.7543192446611345
pu-factors_daily-2001-07-11-a4h21,2001-07-11,a4h21,4,reference_cli,1.0334649793620545,1.0334649793620545,1.0154903598039233,1.0825362076786618,1.0047946857824717
pu-factors_daily-2001-07-11-a4h63_126,2001-07-11,a4h63_126,8,ours,0.6559381412868434,0.6559381412868434,0.6357496093473822,0.6138602479126785,0.7695263111967439
